time,temperature_2m (°C),precipitation (mm),wind_speed_100m (km/h)
2012-03-01T00:00,14.4,0,18.9
2012-03-01T01:00,13.2,0,19.7
2012-03-01T02:00,11.7,0,21
2012-03-01T03:00,10.6,0,15.4
2012-03-01T04:00,10,0,9.3
2012-03-01T05:00,9.4,0,7.4
2012-03-01T06:00,8.8,0,6.5
2012-03-01T07:00,8,0,6
2012-03-01T08:00,8.1,0,6.7
2012-03-01T09:00,8,0,6.7
2012-03-01T10:00,8.3,0,7.3
2012-03-01T11:00,8.2,0,9
2012-03-01T12:00,8.2,0,7.8
2012-03-01T13:00,8,0,6.5
2012-03-01T14:00,8.1,0,3.2
2012-03-01T15:00,8.7,0,1.5
2012-03-01T16:00,10,0,3.8
2012-03-01T17:00,11.2,0,5
2012-03-01T18:00,12.7,0,4.7
2012-03-01T19:00,14.9,0,6.9
2012-03-01T20:00,16.4,0,11
2012-03-01T21:00,17,0,14.9
2012-03-01T22:00,17.3,0,9.4
2012-03-01T23:00,16.5,0,10.7
2012-03-02T00:00,15.2,0,12.2
2012-03-02T01:00,14.1,0,13.3
2012-03-02T02:00,12.9,0,12.7
2012-03-02T03:00,11.7,0,10.8
2012-03-02T04:00,10.6,0,12.6
2012-03-02T05:00,9.4,0,11.8
2012-03-02T06:00,8.6,0,8
2012-03-02T07:00,8.2,0,2.5
2012-03-02T08:00,7.6,0,0.4
2012-03-02T09:00,6.6,0,2.3
2012-03-02T10:00,5.5,0,9.4
2012-03-02T11:00,4.8,0,13.1
2012-03-02T12:00,4.4,0,11.9
2012-03-02T13:00,4.3,0,8.4
2012-03-02T14:00,4.3,0,7.4
2012-03-02T15:00,4.9,0,11.2
2012-03-02T16:00,9.3,0,12.8
2012-03-02T17:00,14,0,13.7
2012-03-02T18:00,17,0,14.3
2012-03-02T19:00,19.2,0,15.2
2012-03-02T20:00,21,0,12.8
2012-03-02T21:00,22.2,0,10.4
2012-03-02T22:00,22.7,0,9.5
2012-03-02T23:00,22.7,0,6.4
2012-03-03T00:00,22.1,0,8.6
2012-03-03T01:00,20.9,0,8.3
2012-03-03T02:00,18.9,0,10.1
2012-03-03T03:00,15.8,0,13.4
2012-03-03T04:00,12.6,0,13
2012-03-03T05:00,10.6,0,12.4
2012-03-03T06:00,9.2,0,12.6
2012-03-03T07:00,8.9,0,11.8
2012-03-03T08:00,8.1,0,9.8
2012-03-03T09:00,7.4,0,9.5
2012-03-03T10:00,6.8,0,12.9
2012-03-03T11:00,6.3,0,11.5
2012-03-03T12:00,6,0,12.2
2012-03-03T13:00,5.7,0,12.4
2012-03-03T14:00,5.4,0,12.7
2012-03-03T15:00,5.9,0,12.7
2012-03-03T16:00,10.7,0,12.8
2012-03-03T17:00,17.3,0,8
2012-03-03T18:00,21.1,0,4.7
2012-03-03T19:00,23,0,1.9
2012-03-03T20:00,24.9,0,2.4
2012-03-03T21:00,26.1,0,5.3
2012-03-03T22:00,26.7,0,8.5
2012-03-03T23:00,26.8,0,9.4
2012-03-04T00:00,26.3,0,9.9
2012-03-04T01:00,25.1,0,12.1
2012-03-04T02:00,22.9,0,14.4
2012-03-04T03:00,19.5,0,11.6
2012-03-04T04:00,16.5,0,8.4
2012-03-04T05:00,13.7,0,6.5
2012-03-04T06:00,13.1,0,7.3
2012-03-04T07:00,12.8,0,8.7
2012-03-04T08:00,11.9,0,10
2012-03-04T09:00,11.2,0,11.1
2012-03-04T10:00,10.6,0,12.8
2012-03-04T11:00,10.1,0,12.6
2012-03-04T12:00,9.7,0,12.9
2012-03-04T13:00,9.4,0,13
2012-03-04T14:00,9.2,0,13.2
2012-03-04T15:00,9.7,0,12.9
2012-03-04T16:00,14.5,0,13.4
2012-03-04T17:00,21.3,0,10.8
2012-03-04T18:00,25.4,0,9.3
2012-03-04T19:00,28,0,7.6
2012-03-04T20:00,29.8,0,4.6
2012-03-04T21:00,30.9,0,2.4
2012-03-04T22:00,31.4,0,3.4
2012-03-04T23:00,31.2,0,6.2
2012-03-05T00:00,30.2,0,9.7
2012-03-05T01:00,28.4,0,13.1
2012-03-05T02:00,25.7,0,14.8
2012-03-05T03:00,23.6,0,11.6
2012-03-05T04:00,20.6,0,8
