Time,temperature_2m ,wind_speed_10m ,rain
2020-07-01T00:00,27.9,4.6,0
2020-07-01T01:00,27.7,5.1,0
2020-07-01T02:00,27.5,5.1,0
2020-07-01T03:00,27.4,4.3,0
2020-07-01T04:00,27.2,4.1,0
2020-07-01T05:00,27,4.1,0
2020-07-01T06:00,27.1,3.6,0.2
2020-07-01T07:00,27.9,6,0.2
2020-07-01T08:00,28.5,4.8,0.1
2020-07-01T09:00,28.2,7.2,0.8
2020-07-01T10:00,29.6,4.1,0.3
2020-07-01T11:00,30.7,4.9,0.3
2020-07-01T12:00,31.5,9.1,0.4
2020-07-01T13:00,31.7,8.3,0.3
2020-07-01T14:00,30,12.6,1.7
2020-07-01T15:00,30.4,8,0.4
2020-07-01T16:00,29.2,11,0.3
2020-07-01T17:00,29.1,11.6,0.2
2020-07-01T18:00,28.9,9.4,0
2020-07-01T19:00,28.3,8.6,0
2020-07-01T20:00,28.2,8,0
2020-07-01T21:00,28,9.3,0
2020-07-01T22:00,27.7,8.4,0
2020-07-01T23:00,27.5,10.2,0
2020-07-02T00:00,27.3,8.7,0
2020-07-02T01:00,27.2,9.5,0.1
2020-07-02T02:00,27.1,8.2,0.1
2020-07-02T03:00,27.2,7.9,0
2020-07-02T04:00,27.1,9.4,0.1
2020-07-02T05:00,27,10.8,0.1
2020-07-02T06:00,27,10.9,0.1
2020-07-02T07:00,27.8,11.8,0.1
2020-07-02T08:00,29.3,9.5,0.1
2020-07-02T09:00,28.8,12.3,2.6
2020-07-02T10:00,29,16.7,0.3
2020-07-02T11:00,29.2,17,0.5
2020-07-02T12:00,30.1,14,0.1
2020-07-02T13:00,30.4,13,0.1
2020-07-02T14:00,30.5,16.2,0.1
2020-07-02T15:00,29.6,15.2,0.5
2020-07-02T16:00,29.6,16.6,0.1
2020-07-02T17:00,28.9,13,0.1
2020-07-02T18:00,28.4,11.3,0.1
2020-07-02T19:00,27.8,10.1,0.1
2020-07-02T20:00,28,5.3,0
2020-07-02T21:00,28,7.7,0
2020-07-02T22:00,27.6,9.4,0
2020-07-02T23:00,27.2,7.7,0
2020-07-03T00:00,27.1,8.8,0
2020-07-03T01:00,26.9,10.5,0
